,Daily_Avg,Daily_Sum,Daily_Count,Dly_Cnt_Diff,Rig_Count,WTI_Spot_Price,Brent_Spot_Price,fracs_per_day,volume_per_day,avg_volh2o_per_ft
2018-05-22,1.7,1.7,1,1.0,28.0,72.09,80.42,6.0,7300166.954457013,2012.1723535353533
2018-05-23,0.0,0.0,0,-1.0,28.0,71.85,78.69,6.0,7300166.954457013,2012.1723535353533
2018-05-24,0.0,0.0,0,0.0,28.0,70.77,78.9,6.0,7300166.954457013,2012.1723535353533
2018-05-25,0.0,0.0,0,0.0,28.0,67.92,76.6,9.0,9021632.26214932,2283.3274023569024
2018-05-26,0.0,0.0,0,0.0,29.0,67.92,76.6,9.0,9021632.26214932,2283.3274023569024
2018-05-27,0.0,0.0,0,0.0,29.0,67.92,76.6,12.0,12399519.70214932,2189.3437342171715
2018-05-28,1.4,1.4,1,1.0,29.0,67.92,76.6,14.0,15236453.20214932,2077.986864177489
2018-05-29,0.0,0.0,0,-1.0,29.0,66.8,74.51,12.0,12618398.694457013,2120.716537247475
2018-05-30,0.0,0.0,0,0.0,29.0,68.24,75.89,12.0,12607995.219457014,2091.576452020202
2018-05-31,0.0,0.0,0,0.0,29.0,66.98,76.45,12.0,12607995.219457014,2091.576452020202
2018-06-01,0.0,0.0,0,0.0,29.0,65.81,74.54,11.0,13169627.019457012,2199.307747933884
2018-06-02,0.0,0.0,0,0.0,29.0,65.81,74.54,8.0,9756192.107692309,2461.484043560606
2018-06-03,0.0,0.0,0,0.0,29.0,65.81,74.54,8.0,9756192.107692309,2461.484043560606
2018-06-04,0.0,0.0,0,0.0,29.0,64.76,73.41,7.0,7986074.107692308,2525.767803030303
2018-06-05,0.0,0.0,0,0.0,29.0,65.51,72.91,10.0,11340972.913247865,2430.8197916666672
2018-06-06,0.0,0.0,0,0.0,29.0,64.75,73.23,11.0,9785653.647747863,2460.8404121900826
2018-06-07,0.0,0.0,0,0.0,29.0,65.96,75.23,11.0,9026935.781081196,2507.740136707989
2018-06-08,0.0,0.0,0,0.0,29.0,65.77,75.11,13.0,11723514.22552564,2571.865372086247
2018-06-09,0.0,0.0,0,0.0,31.0,65.77,75.11,14.0,12693438.16670211,2611.2222150974026
2018-06-10,0.0,0.0,0,0.0,31.0,65.77,75.11,15.0,14263755.16670211,2635.413082575758
2018-06-11,2.3,4.6,2,2.0,31.0,66.1,74.58,15.0,14263755.16670211,2635.413082575758
2018-06-12,1.9,1.9,1,-1.0,31.0,66.38,74.86,15.0,14263755.16670211,2635.413082575758
2018-06-13,2.25,4.5,2,1.0,31.0,66.63,75.07,15.0,14263755.16670211,2635.413082575758
2018-06-14,0.0,0.0,0,-2.0,31.0,66.91,74.77,16.0,15443068.964429386,2562.5202431344696
2018-06-15,0.0,0.0,0,0.0,31.0,65.01,72.02,16.0,15359270.808873829,2566.25305563447
2018-06-16,0.0,0.0,0,0.0,31.0,65.01,72.02,18.0,16916116.926520888,2559.5900898569025
