EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2018yzxn,final,2018-12-22,17:08:23,1.8,,29.0140,0.7,-97.8698,0.7,5.4,5.5,1.8,0.3,13,11,TXNet,earthquake,Central Texas,,,,,,,,,,23.152845065836498,2019-11-06 19:31:38
texnet2018yzxo,preliminary,2018-12-22,17:08:11,2.0,,28.9389,1.6,-97.9546,1.0,12.7,12.8,1.2,0.1,9,6,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,20.926061323587,2021-02-05 05:29:48
texnet2018yzxd,final,2018-12-22,16:57:31,1.5,,29.0121,0.8,-97.9091,0.8,3.9,4.0,1.9,0.3,14,7,TXNet,earthquake,Central Texas,,,,,,,,,,24.8786187753285,2019-01-13 17:05:17
texnet2018yzwy,final,2018-12-22,16:50:31,1.8,,29.0323,0.9,-97.7209,0.6,3.7,3.9,2.8,0.1,12,8,TXNet,earthquake,Central Texas,,,,,,,,,,67.96986189710849,2019-01-15 21:35:54
texnet2018yztf,final,2018-12-22,14:57:28,1.5,,29.0094,0.7,-97.9143,0.9,5.7,5.8,2.1,0.2,13,7,TXNet,earthquake,Central Texas,,,,,,,,,,25.3850378999805,2019-01-14 19:01:14
texnet2018yznd,final,2018-12-22,11:53:58,1.7,,29.0167,0.5,-97.9184,0.6,4.0,4.0,1.5,0.2,15,9,TXNet,earthquake,Central Texas,,,,,,,,,,46.59856941092849,2019-01-04 16:29:18
texnet2018yzmh,final,2018-12-22,11:27:52,1.4,,29.0195,0.6,-97.9091,0.6,4.6,4.7,1.9,0.2,13,8,TXNet,earthquake,Central Texas,,,,,,,,,,24.160405589019,2019-01-15 17:25:26
texnet2018yzlo,final,2018-12-22,11:06:29,1.1,,28.9774,1.1,-97.8429,1.0,12.1,12.2,0.9,0.1,11,7,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,26.392803944881496,2019-01-04 17:28:35
texnet2018yzke,final,2018-12-22,10:24:14,1.2,,28.9975,0.8,-97.8946,0.6,2.1,2.2,1.3,0.2,21,14,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,146.950785362745,2019-01-15 18:02:59
texnet2018yzjx,final,2018-12-22,10:16:58,1.1,,28.9902,1.0,-97.9153,1.2,6.6,6.7,2.6,0.2,11,6,TXNet,earthquake,Near Coast of Texas,,,,,,,,,,47.7606022393815,2019-01-10 19:24:08
